Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3332	717	2129	4464	717	2129	5952	51	68	94	51	68	94	5749	32318	48477	5749	32318	48477
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3370	732	2163	4550	732	2163	6067	51	68	94	51	68	94	5853	33224	49836	5853	33224	49836
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3408	746	2197	4637	746	2197	6182	52	69	96	52	69	96	5957	34130	51195	5957	34130	51195
86	860	1548	2322	17	31	46	1032	1858	2786	21	37	56	1538	2769	4153	46	83	125	131	235	353	3	6	9	11016	19828	29742	220	397	595
87	870	1566	2349	17	31	47	1044	1879	2819	21	38	56	1543	2778	4167	46	83	125	131	236	355	3	6	9	11045	19881	29822	221	398	596
88	880	1584	2376	18	32	48	1056	1901	2851	21	38	57	1548	2787	4181	46	84	125	132	237	356	3	6	9	11074	19934	29901	221	399	598
89	890	1602	2403	18	32	48	1068	1922	2884	21	38	58	1554	2796	4195	47	84	126	132	238	358	3	6	9	11103	19986	29979	222	400	600
90	900	1620	2430	18	32	49	1080	1944	2916	22	39	58	1559	2805	4208	47	84	126	133	240	359	3	6	9	11132	20037	30056	223	401	601
91	910	1638	2457	18	33	49	1092	1966	2948	22	39	59	1564	2814	4221	47	84	127	134	241	361	3	6	9	11160	20088	30132	223	402	603
92	920	1656	2484	18	33	50	1104	1987	2981	22	40	60	1568	2823	4235	47	85	127	134	242	362	3	6	9	11188	20138	30208	224	403	604
93	930	1674	2511	19	33	50	1116	2009	3013	22	40	60	1573	2832	4248	47	85	127	135	243	364	3	6	9	11216	20188	30282	224	404	606
94	940	1692	2538	19	34	51	1128	2030	3046	23	41	61	1578	2841	4261	47	85	128	135	244	365	3	6	9	11243	20237	30356	225	405	607
95	950	1710	2565	19	34	51	1140	2052	3078	23	41	62	1583	2849	4274	47	85	128	136	245	367	3	6	9	11270	20286	30428	225	406	609
96	960	1728	2592	19	35	52	1152	2074	3110	23	41	62	1588	2858	4287	48	86	129	136	246	368	3	6	9	11296	20334	30500	226	407	610
97	970	1746	2619	19	35	52	1164	2095	3143	23	42	63	1592	2866	4299	48	86	129	137	247	370	3	6	9	11323	20381	30572	226	408	611
98	980	1764	2646	20	35	53	1176	2117	3175	24	42	64	1597	2874	4312	48	86	129	138	248	371	3	6	9	11349	20428	30642	227	409	613
99	990	1782	2673	20	36	53	1188	2138	3208	24	43	64	1601	2883	4324	48	86	130	138	249	373	3	6	9	11375	20474	30711	227	409	614
100	1000	1800	2700	20	36	54	1200	2160	3240	24	43	65	1606	2891	4336	48	87	130	139	250	374	3	6	9	11400	20520	30780	228	410	616
101	1010	1818	2727	20	36	55	1212	2182	3272	24	44	65	1610	2899	4348	48	87	130	139	250	376	3	6	9	11425	20566	30848	229	411	617
102	1020	1836	2754	20	37	55	1224	2203	3305	24	44	66	1615	2907	4360	48	87	131	140	251	377	3	6	9	11450	20610	30916	229	412	618
103	1030	1854	2781	21	37	56	1236	2225	3337	25	44	67	1619	2915	4372	49	87	131	140	252	379	4	6	9	11475	20655	30982	229	413	620
104	1040	1872	2808	21	37	56	1248	2246	3370	25	45	67	1624	2923	4384	49	88	132	141	253	380	4	6	9	11499	20699	31048	230	414	621
105	1050	1890	2835	21	38	57	1260	2268	3402	25	45	68	1628	2930	4396	49	88	132	141	254	381	4	6	10	11523	20742	31113	230	415	622
106	1060	1908	2862	21	38	57	1272	2290	3434	25	46	69	1632	2938	4407	49	88	132	142	255	383	4	6	10	11547	20785	31177	231	416	624
107	1070	1926	2889	21	39	58	1284	2311	3467	26	46	69	1636	2946	4418	49	88	133	142	256	384	4	6	10	11571	20827	31241	231	417	625
108	1080	1944	2916	22	39	58	1296	2333	3499	26	47	70	1641	2953	4430	49	89	133	143	257	385	4	6	10	11594	20869	31304	232	417	626
109	1090	1962	2943	22	39	59	1308	2354	3532	26	47	71	1645	2961	4441	49	89	133	143	258	387	4	6	10	11617	20911	31367	232	418	627
110	1100	1980	2970	22	40	59	1320	2376	3564	26	48	71	1649	2968	4452	49	89	134	144	259	388	4	6	10	11640	20952	31428	233	419	629
111	1110	1998	2997	22	40	60	1332	2398	3596	27	48	72	1653	2975	4463	50	89	134	144	260	389	4	6	10	11663	20993	31489	233	420	630
112	1120	2016	3024	22	40	60	1344	2419	3629	27	48	73	1657	2983	4474	50	89	134	145	260	391	4	7	10	11685	21033	31550	234	421	631
113	1130	2034	3051	23	41	61	1356	2441	3661	27	49	73	1661	2990	4485	50	90	135	145	261	392	4	7	10	11707	21073	31609	234	421	632
114	1140	2052	3078	23	41	62	1368	2462	3694	27	49	74	1665	2997	4495	50	90	135	146	262	393	4	7	10	11729	21112	31669	235	422	633
115	1150	2070	3105	23	41	62	1380	2484	3726	28	50	75	1669	3004	4506	50	90	135	146	263	395	4	7	10	11751	21151	31727	235	423	635
116	1160	2088	3132	23	42	63	1392	2506	3758	28	50	75	1673	3011	4516	50	90	135	147	264	396	4	7	10	11772	21190	31785	235	424	636
117	1170	2106	3159	23	42	63	1404	2527	3791	28	51	76	1677	3018	4527	50	91	136	147	265	397	4	7	10	11794	21228	31843	236	425	637
118	1180	2124	3186	24	42	64	1416	2549	3823	28	51	76	1680	3025	4537	50	91	136	148	266	398	4	7	10	11815	21266	31899	236	425	638
119	1190	2142	3213	24	43	64	1428	2570	3856	29	51	77	1684	3031	4547	51	91	136	148	266	400	4	7	10	11835	21304	31956	237	426	639
120	1200	2160	3240	24	43	65	1440	2592	3888	29	52	78	1688	3038	4557	51	91	137	148	267	401	4	7	10	11856	21341	32011	237	427	640
121	1210	2178	3267	24	44	65	1452	2614	3920	29	52	78	1692	3045	4567	51	91	137	149	268	402	4	7	10	11876	21378	32066	238	428	641
122	1220	2196	3294	24	44	66	1464	2635	3953	29	53	79	1695	3051	4577	51	92	137	149	269	403	4	7	10	11897	21414	32121	238	428	642
123	1230	2214	3321	25	44	66	1476	2657	3985	30	53	80	1699	3058	4587	51	92	138	150	270	404	4	7	10	11917	21450	32175	238	429	643
124	1240	2232	3348	25	45	67	1488	2678	4018	30	54	80	1702	3064	4597	51	92	138	150	270	406	4	7	10	11936	21486	32228	239	430	645
125	1250	2250	3375	25	45	68	1500	2700	4050	30	54	81	1706	3071	4606	51	92	138	151	271	407	4	7	10	11956	21521	32281	239	430	646
126	1260	2268	3402	25	45	68	1512	2722	4082	30	54	82	1710	3077	4616	51	92	138	151	272	408	4	7	10	11976	21556	32334	240	431	647
127	1270	2286	3429	25	46	69	1524	2743	4115	30	55	82	1713	3084	4625	51	93	139	152	273	409	4	7	10	11995	21591	32386	240	432	648
