Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	Warlock	ExpRatio
68	2342398	2342398	2342398	2342398	2342398	2342398	2342398	2342398	1024
69	2657340	2657340	2657340	2657340	2657340	2657340	2657340	2657340	1024
70	3014627	3014627	3014627	3014627	3014627	3014627	3014627	3014627	934
71	3419952	3419952	3419952	3419952	3419952	3419952	3419952	3419952	852
72	3879774	3879774	3879774	3879774	3879774	3879774	3879774	3879774	778
73	4401420	4401420	4401420	4401420	4401420	4401420	4401420	4401420	709
74	4993204	4993204	4993204	4993204	4993204	4993204	4993204	4993204	647
75	5664554	5664554	5664554	5664554	5664554	5664554	5664554	5664554	590
76	6426169	6426169	6426169	6426169	6426169	6426169	6426169	6426169	539
77	7290185	7290185	7290185	7290185	7290185	7290185	7290185	7290185	491
78	8270371	8270371	8270371	8270371	8270371	8270371	8270371	8270371	448
79	9382346	9382346	9382346	9382346	9382346	9382346	9382346	9382346	409
80	10643828	10643828	10643828	10643828	10643828	10643828	10643828	10643828	373
81	12074921	12074921	12074921	12074921	12074921	12074921	12074921	12074921	340
82	13698427	13698427	13698427	13698427	13698427	13698427	13698427	13698427	311
83	15540219	15540219	15540219	15540219	15540219	15540219	15540219	15540219	283
84	17629645	17629645	17629645	17629645	17629645	17629645	17629645	17629645	259
85	20000000	20000000	20000000	20000000	20000000	20000000	20000000	20000000	236
86	22689056	22689056	22689056	22689056	22689056	22689056	22689056	22689056	215
87	25739663	25739663	25739663	25739663	25739663	25739663	25739663	25739663	196
88	29200432	29200432	29200432	29200432	29200432	29200432	29200432	29200432	179
89	33126512	33126512	33126512	33126512	33126512	33126512	33126512	33126512	163
90	37580464	37580464	37580464	37580464	37580464	37580464	37580464	37580464	149
91	42633262	42633262	42633262	42633262	42633262	42633262	42633262	42633262	136
92	48365424	48365424	48365424	48365424	48365424	48365424	48365424	48365424	124
93	54868290	54868290	54868290	54868290	54868290	54868290	54868290	54868290	113
94	62245485	62245485	62245485	62245485	62245485	62245485	62245485	62245485	103
95	70614564	70614564	70614564	70614564	70614564	70614564	70614564	70614564	94
96	80108889	80108889	80108889	80108889	80108889	80108889	80108889	80108889	86
97	90879753	90879753	90879753	90879753	90879753	90879753	90879753	90879753	78
98	103098789	103098789	103098789	103098789	103098789	103098789	103098789	103098789	72
99	116960710	116960710	116960710	116960710	116960710	116960710	116960710	116960710	65
100	132686404	132686404	132686404	132686404	132686404	132686404	132686404	132686404	60
101	150526461	150526461	150526461	150526461	150526461	150526461	150526461	150526461	54
102	170765164	170765164	170765164	170765164	170765164	170765164	170765164	170765164	50
103	193725017	193725017	193725017	193725017	193725017	193725017	193725017	193725017	45
104	219771887	219771887	219771887	219771887	219771887	219771887	219771887	219771887	41
105	249320831	249320831	249320831	249320831	249320831	249320831	249320831	249320831	38
106	282842712	282842712	282842712	282842712	282842712	282842712	282842712	282842712	34
107	320871705	320871705	320871705	320871705	320871705	320871705	320871705	320871705	31
108	364013802	364013802	364013802	364013802	364013802	364013802	364013802	364013802	29
109	412956474	412956474	412956474	412956474	412956474	412956474	412956474	412956474	26
110	468479625	468479625	468479625	468479625	468479625	468479625	468479625	468479625	24
111	531468019	531468019	531468019	531468019	531468019	531468019	531468019	531468019	22
112	602925378	602925378	602925378	602925378	602925378	602925378	602925378	602925378	20
113	683990379	683990379	683990379	683990379	683990379	683990379	683990379	683990379	18
114	775954795	775954795	775954795	775954795	775954795	775954795	775954795	775954795	16
115	880284084	880284084	880284084	880284084	880284084	880284084	880284084	880284084	15
116	998640737	998640737	998640737	998640737	998640737	998640737	998640737	998640737	14
117	1132910773	1132910773	1132910773	1132910773	1132910773	1132910773	1132910773	1132910773	13
118	1285233790	1285233790	1285233790	1285233790	1285233790	1285233790	1285233790	1285233790	11
119	1458037062	1458037062	1458037062	1458037062	1458037062	1458037062	1458037062	1458037062	10
120	1654074217	1654074217	1654074217	1654074217	1654074217	1654074217	1654074217	1654074217	10
121	1876469114	1876469114	1876469114	1876469114	1876469114	1876469114	1876469114	1876469114	9
122	2128765627	2128765627	2128765627	2128765627	2128765627	2128765627	2128765627	2128765627	8
123	2414984109	2414984109	2414984109	2414984109	2414984109	2414984109	2414984109	2414984109	7
124	2739685467	2739685467	2739685467	2739685467	2739685467	2739685467	2739685467	2739685467	7
125	3108043828	3108043828	3108043828	3108043828	3108043828	3108043828	3108043828	3108043828	6
126	3525929000	3525929000	3525929000	3525929000	3525929000	3525929000	3525929000	3525929000	5
127	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	4000000000	5
